ジャンルコード,ジャンル名,amazon_browz,amazon_goods_type
1010,シャツ,2131435051,Shirt
1011,ポロシャツ,2131435051,Shirt
1012,長袖ニット／カットソー,,
1013,半袖ニット／カットソー,,
1014,カーディガン／ベスト,2131439051,Sweater
1015,ベスト,2131432051,Blazer
1110,ジャケット／ブルゾン,2131419051,Blazer
1111,ダウンジャケット／ベスト,2131419051,Outerwear
1112,キルティングジャケット,2131419051,Blazer
1113,ベスト,2131419051,Blazer
1114,コート,2131419051,Outerwear
1115,Pコート／ダッフルコート,2131419051,Outerwear
1210,ドレスパンツ／ビジネスパンツ,2131443051,Pants
1211,カジュアルパンツ／チノパン,,Pants
1212,ショートパンツ／クロップドパンツ,2131441051,Pants
1310,バッグ,,Bag
1311,デイパック,,Bag
1312,スーツケース,,Bag
1313,クラッチバッグ,2131441051,Bag
1314,ポーチ,,Bag
1410,ベルト,2231259051,Accessory
1411,メッシュベルト,2231259051,Accessory
1510,革靴,2225845051,Shoes
1511,スニーカー,,Shoes
1512,サンダル,,Shoes
1610,長財布,2221209051,Bag
1611,二つ折り財布／三つ折り財布,2221209051,Bag
1612,小銭入れ,2221202051,Bag
1613,名刺入れ,2221215051,Bag
1614,パスケース／IDケース,2221216051,Bag
1615,キーケース／キーホルダー,,Bag
1616,手帳,,Accessory
1617,革小物,,Bag
1710,無地,2231261051,Accessory
1711,ドット,2231261051,Accessory
1712,ストライプ,2231261051,Accessory
1713,その他,2231261051,Accessory
1910,ブレスレット,,Accessory
1911,アンクレット,,Accessory
1912,キーチェーン,,Accessory
1913,ポケットチーフ,2231263051,Accessory
1914,マフラー,2231268051,Accessory
1915,傘,,Accessory
1916,帽子,,Accessory
1917,手袋,2231265051,Accessory
1918,靴下,2131473051,SocksHosiery
1919,アンダーウェア,,Underwear
1920,カフリンクス,86247051,Accessory
1921,その他,,Accessory
2010,バッグ,15324741,
2011,その他,,
9010,ジャケット／コート WOMEN'S,2131480051,Blazer
9011,ニット／カットソー WOMEN'S,2131439051,
9012,パンツ／スカート WOMEN'S,,
9013,靴 WOMEN'S,,Shoes
9014,サンダル WOMEN'S,2221095051,Shoes
9015,バッグ WOMEN'S,,Bag
9016,ベルト WOMEN'S,,Accessory
9017,マフラー WOMEN'S,2441624051,Accessory
9018,帽子／手袋 WOMEN'S,2231233051,Accessory
