商品コード,商品コメント1,商品コメント2,商品コメント3,商品コメント4,商品コメント5,商品コメント6,商品コメント7,商品コメント8,商品コメント9,購入時メッセージ
10072,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br />バリスティック・ナイロンとよばれる素材はミリタリーファクトリーが使用している中で最もヘヴィーで極めて耐摩耗性が強い素材です。<br />縫製はSecure Tack（商標）です。Secure Tack（商標）は縫い目のほころびをさけるためにファクトリーが開発したもので、業界で最高級の複合綴じのパターンを使用している事を意味します。<br />軍規格機器が安全に使用できるように、縫製に対してもミリタリー規格があり、ブリーフィングのファクトリーでは当然これらの規格をパスしています。<br /><br />プロテクショントートはブリーフィングの第一弾としてリリースされた傑作モデル。<br />ブリーフィングの世界はここから始まるといっても過言ではない。<br />前後のファスナーがついた2つの荷室は両面にウレタンパッドが内蔵され、ノートパソコンや電気機器を衝撃から守ります。
</span>",,,,,,,,,
10073,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br />バリスティック・ナイロンとよばれる素材はミリタリーファクトリーが使用している中で最もヘヴィーで極めて耐摩耗性が強い素材です。<br />縫製はSecure Tack（商標）です。Secure Tack（商標）は縫い目のほころびをさけるためにファクトリーが開発したもので、業界で最高級の複合綴じのパターンを使用している事を意味します。<br />軍規格機器が安全に使用できるように、縫製に対してもミリタリー規格があり、ブリーフィングのファクトリーでは当然これらの規格をパスしています。<br /><br />プロテクション・2ウェイ・ブリーフケースはメインポケットにファスナーが無いので、ストレスの無いノートパソコンや書類の出し入れが可能だ。<br />ノートパソコンや電気機器を保護するパッドが両サイドに付いており、仕切りポケットが多く収納も容易に行える。<br />内側のボタンを留めれば中のものが飛び出すこともない。
</span>",,,,,,,,,
10078,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br />バリスティック・ナイロンとよばれる素材はミリタリーファクトリーが使用している中で最もヘヴィーで極めて耐摩耗性が強い素材です。<br />縫製はSecure Tack（商標）です。Secure Tack（商標）は縫い目のほころびをさけるためにファクトリーが開発したもので、業界で最高級の複合綴じのパターンを使用している事を意味します。<br />軍規格機器が安全に使用できるように、縫製に対してもミリタリー規格があり、ブリーフィングのファクトリーでは当然これらの規格をパスしています。<br /><br />デイトリッパーはデイリーユースに最適なサイズ感。<br />コンパクトに見えてA4雑誌なども収納可能。<br />ブリーフィングのショルダーバッグの中で最も人気の高いモデルです。
</span>",,,,,,,,,
10082,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br />バリスティック・ナイロンとよばれる素材はミリタリーファクトリーが使用している中で最もヘヴィーで極めて耐摩耗性が強い素材です。<br />縫製はSecure Tack（商標）です。Secure Tack（商標）は縫い目のほころびをさけるためにファクトリーが開発したもので、業界で最高級の複合綴じのパターンを使用している事を意味します。<br />軍規格機器が安全に使用できるように、縫製に対してもミリタリー規格があり、ブリーフィングのファクトリーでは当然これらの規格をパスしています。<br /><br />ショルダータイプのファーバー ブラックは、マチの広さと内側の4つのポケットで収納力が抜群。<br />さらに取り外し可能なウレタンパッドが備わっていて、荷物を衝撃から守ります。<br />ショルダータイプのスタイリッシュさと機能性を兼ね備えたモデルです。
</span>",,,,,,,,,
10086,"<span class=""itemComment"">ブリーフィングのスーツケース、T1。<br />ミル・スペックに準拠したバリスティック・ナイロンを使用し、さすがブリーフィングと思わせる機能性を兼ね備えています。<br />外側には複数ポケットを配し、内側の荷室には荷物固定用のベルトが付いているので、細かな荷物の仕分けが可能。<br />また、上部のファスナー内にハンドルを完全に収納出来るので、荷物が軽い時は横にして持ち運ぶことが出来ます。<br />ブリーフィングの「B4 オーバートリップ」や「フラットライナー」を使うと背面のベルトをハンドルに装着でき、両手に荷物を持つことなく、快適に移動できます。<br />カジュアルスタイルだけではなく、スーツスタイルにも合わせられ、出張、旅行などの強い見方になってくれます。
</span>",,,"<p>ブリーフィングのスーツケース、T1。<br />ミル・スペックに準拠したバリスティック・ナイロンを使用し、さすがブリーフィングと思わせる機能性を兼ね備えています。<br />外側には複数ポケットを配し、内側の荷室には荷物固定用のベルトが付いているので、細かな荷物の仕分けが可能。<br />また、上部のファスナー内にハンドルを完全に収納出来るので、荷物が軽い時は横にして持ち運ぶことが出来ます。<br />ブリーフィングの「B4 オーバートリップ」や「フラットライナー」を使うと背面のベルトをハンドルに装着でき、両手に荷物を持つことなく、快適に移動できます。<br />カジュアルスタイルだけではなく、スーツスタイルにも合わせられ、出張、旅行などの強い見方になってくれます。</p><ul class=""link1""><li><a href=""http://blog.glober.jp/?p=1312"">ブランド</a></li></ul>

<table class=""stripeTable"">
<tr>
<th scope=""row"">商品コード</th>
<td>100861211</td>
</tr>

<tr>
<th scope=""row"">カラー</th>
<td>モス</td>
</tr>

<tr>
<th scope=""row"">サイズ</th>
<td>モス</td>
</tr>

<tr>
<th>カラー :</th>
<td>モス</td>
</tr>
<tr>
<th>サイズ :</th>
<td>幅×高さ×マチ 約40×53×20cm<br>（ハンドルを伸ばした際の高さ 98cm）</td>
</tr>
<tr>
<th>素材 :</th>
<td>バリスティックナイロン</td>
</tr>
<tr>
<th>原産国 :</th>
<td>米国</td>
</tr>
<tr>
<th>外側仕様 :</th>
<td>ファスナーポケット 4<br>その内側にメッシュポケット 1<br>着脱式キーホルダー 1<br>ポケット 1</td>
</tr>
<tr>
<th>内側仕様 :</th>
<td>ファスナーポケット　1<br>荷物固定用ベルト　2</td>
</tr>
<tr>
<th>ギフト :</th>
<td>GLOBERオリジナルパッケージ</td>
</tr>


</table>

<div style='margin-top:3px;text-align:right;'><a href='http://glober.jp/info/size.aspx#bag' target='_blank'>サイズの測り方について<img src='http://glober.jp/img/common/parts/icon_externallink.gif' width='10' height='12' /></a></div>


",,,,,,
10092,"<span class=""itemComment"">ジムワイヤーはジムでの利用を想定したトートバッグ。<br />サイズは1～2泊程度の旅行にも使える大容量。<br>横から入れるシューズポケットが装備されているので、ジムだけでなく、ゴルフなどあらゆるスポーツにおすすめです。<br />フロントのオープンポケットはテニスラケットが入ります。<br />背面にはショルダーストラップがつき、肩に背負えるので、他に荷物がある時の持ち運びも便利。<br />メイン室の上部はファスナー式のふたとスナップボタンがあり、用途に応じて閉め方を選べます。<br />ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。</span>",,,,,,,,,
10093,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br />バリスティック・ナイロンとよばれる素材はミリタリーファクトリーが使用している中で最もヘヴィーで極めて耐摩耗性が強い素材です。<br />縫製はSecure Tack（商標）です。Secure Tack（商標）は縫い目のほころびをさけるためにファクトリーが開発したもので、業界で最高級の複合綴じのパターンを使用している事を意味します。<br />軍規格機器が安全に使用できるように、縫製に対してもミリタリー規格があり、ブリーフィングのファクトリーでは当然これらの規格をパスしています。
</span>",,,,,,,,,
10094,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br />バリスティック・ナイロンとよばれる素材はミリタリーファクトリーが使用している中で最もヘヴィーで極めて耐摩耗性が強い素材です。<br />縫製はSecure Tack（商標）です。Secure Tack（商標）は縫い目のほころびをさけるためにファクトリーが開発したもので、業界で最高級の複合綴じのパターンを使用している事を意味します。<br />軍規格機器が安全に使用できるように、縫製に対してもミリタリー規格があり、ブリーフィングのファクトリーでは当然これらの規格をパスしています。<br /><br />トラベルを意識したコレクションの充実に力を入れるブリーフィングによるIDケース。<br />パスポートが入る大きさに設計されており、パスポートはもちろん貴重品などの携帯に便利。
</span>",,,,,,,,,
10095,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br />バリスティック・ナイロンとよばれる素材はミリタリーファクトリーが使用している中で最もヘヴィーで極めて耐摩耗性が強い素材です。<br />縫製はSecure Tack（商標）です。Secure Tack（商標）は縫い目のほころびをさけるためにファクトリーが開発したもので、業界で最高級の複合綴じのパターンを使用している事を意味します。<br />軍規格機器が安全に使用できるように、縫製に対してもミリタリー規格があり、ブリーフィングのファクトリーでは当然これらの規格をパスしています。<br /><br />社員証ケースは常に表に出ていて、体の真ん中にぶら下がっていて、しかもネクタイの上にかぶさっていたりするものだから、最も重要なファッションアイテムの1つです。<br />人と差がつくセンスの良いものを身につけたい、という方におすすめのIDケース。<br />ジッパー付きポケットがあり、小銭なども携帯できます。<br />BRIEFINGのロゴが付いたポケットはクレジットカードや名刺などがちょうど収まります。
</span>",,,,,,,,,
10097,"<span class=""itemComment"">ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。<br /><br />従来のワイドプロテクショントートをさらに横幅、マチ幅を広げ容量アップ。<br />両サイドにはペットボトルがすっぽり入るサイドポケットも装備。<br />本体に縫い付けられ起倒可能な底板とマチについたスナップボタンにより、荷物の量に応じてマチ幅を調整可能です。<br />内側上部にはストラップが付いているので、これも本体の容量の調節に使用できると同時に、荷室の口を狭くして中身が見えにくいという効果や、鞄を横にしても中身が出にくいという効果があります。<br />メインの荷室の前後には2つ目、3つ目の荷室ともいえるファスナーポケットがあり、それぞれが前後にウレタンパッドを内蔵しています。<br />計4枚のウレタンパッドがポケット内部の保護は勿論、バッグ全体の丈夫さを増しています。
</span>",,,,,,,,,
